630,LODGE COACHES
631,RAYLEIGH ROADWAYS 
632,DEWS COACHES
633,PERRYS PRIVATE HIRE
634,BRENTWOOD COACHES
635,CHELMSFORD TRAVEL
636,STAGECOACH IN CAMBRIDGE
637,ARRIVA THE SHIRES & ESSEX
638,R O SIMONDS
639,CARTER COACHES
640,FOURWAYS COACHES
641,C PEELING & SONS
642,PETER GODWARD COACHES
643,C W PULFREY & SON
644,TONY GLEW PRIVATE HIRE
645,ENFIELDIAN COACH TOURS
646,CHAMBERS
647,A & J COACHES
648,GRAVES COACHES
649,S J H TRAVEL
650,MILESTONE MINIBUSES
651,EAGLES COACHES
652,BUCKLAND OMNIBUS CO
653,G H WATTS COACHES
654,A G S TAXIS
655,CI COACHLINES/CLUBCLASS TRAVEL
656,A to B Bus and Coach
657,WHINCOP
658,A & A TRAVELS
659,TURNERS MINIBUSES
660,EXECUBUS TRAVEL
661,ROBERTS TRAVEL GROUP
662,HARLEQUIN TRAVEL
663,STAGECOACH IN NORFOLK
664,BRITANNIA COACHES
665,SUNFUN LUXURY TRAVEL
666,A1 TRAVEL
667,FARNHAM HIRE SERVICE
668,TURNERS OF ESSEX
669,ADDLETHORPE MINI BUSES
670,ENSIGNBUS
671,ABACUS
672,J R DENT (COACHES)
673,MASTER TRAVEL
674,N J TRAVEL SERVICES
675,NEALE'S
676,J & D TRAVEL
677,SKEGNESS TRAVEL
678,CEEFA COACHES
679,SULLIVAN BUSES
680,ASHWOOD TRAVEL
681,OUR HIRE
682,HERBERTS TRAVEL
683,BROOKSIDE TRAVEL
684,LANGSTON & TASKER
685,MOTTS TRAVEL
686,ABBEY COACHES
687,RICHMONDS COACHES
688,BLUE DIAMOND COACHES
689,BRYANS OF ENFIELD
690,D & J DICKINSON
691,ROADCAR
692,SLEAFORDIAN COACHES
693,COUNTRY HOPPER
694,JCS COACHES
695,W & M TRAVEL
696,SALEC TRAVEL
697,REGAL BUSWAYS
698,LANES COACHES
699,RAICHA'S TRAVELS
700,CARTERS TRAVEL
701,PF Travel
702,AWAYADAYS
703,Tates Coaches
704,Chiltern Coach Hire
705,TOTAL TRAVEL
706,COACH
707,BRYAN A GARRATT/ABBEY TRAVEL
708,DE VERE CARS
709,DE VERE TRAVEL
710,R P CONTRACT HIRE
711,EAGLE MINI COACHES
712,DALY'S TRAVEL
713,UNO
714,BILLS MINIBUSES
715,MARETTS CHARIOTS
716,SGH Transport
717,KEANE TRAVEL
718,HINCKLEY BUS
719,TRUSTYBUS
720,GALLEON TRAVEL
721,DIAMOND COACHES
722,M & A DABBS
723,BARNETTS
724,PANTHER TRAVEL
725,SHOREYS TRAVEL
726,FORDS COACHES
727,ACME TRANSPORT SERVICES
728,A C WILLIAMS
729,HAMILTONS COACHES BUCKBYS COACHES
730,FELIX TAXIS & CO
731,NORFOLK COACHWAYS
732,TRAVEL SERVICES
733,LORD'S TRAVEL
734,Z & S BUSES
735,MERIDIAN
736,FELINE EXECUTIVE TRAVEL
737,RED EAGLE
738,LYNX
739,OURHIRE
740,RED BUS
741,PETER REYNOLDS COACHES
742,SUPPLIES TEAM 
743,BUNZL CLEANING SUPPLIE
744,WWW.999SUPPLIER.COM
745,SAIN PERRY ROAD
746,ALDI
747,ASDA SUPERSTORE
748,BALL COLEGRAVE GBP
749,FACEBOOK 2QQHK8A5S2
750,FACEBOOK YCSLK7J592
751,IKEA SACAT
752,INFOCASH
753,LIDL UK
754,MEDINA CONTINENTAL FOO
755,NAT GEO SOCIETY
756,PLUSNET  0845 14002
757,TESCO STORES 6439
758,3RG ASSOCIATES 
759,A WANDLESS SIGN SERVICES 
760,A1 MOBILE 
761,AGINCARE
762,AMAZON EU
763,AMAZON UK MARKETPLACE
764,AMBLESIDE PRIMARY SCHOOL
765,AMG NURSING & CARE SERVICES
766,ANTALIS UK 
767,ARDEN CHAMBERS 
768,ARGOS DIRECT
769,ARGOS RETAIL GROUP
770,ASDA STORES 4880
771,ASRA HOUSING GROUP
772,ASTON & FINCHER
773,ATKINS  T/A FAITHFUL & GOULD
774,BAAF REGISTERED CHARITY
775,BANNER PLANT 
776,BESTBUILD SOCIAL ENTERPRISE 
777,BJM FLOORING SUPPLIES 
778,BLUE BELL HILL PRIMARY SCHOOL
779,BOOTS 0006
780,BRAKE BROS 
781,BRISTOW & SUTOR
782,"BROADCASTING, ENTERTAINMENT, CINEMATOGRAPH & THEATRE UNION"
783,BROCKLEWOOD PRIMARY ACADEMY
784,BULWELL COMMUNITY TOY LIBRARY 
785,CEMEX UK MATERIALS
786,CLOCKTOWER RESTAUR
787,COMFORT CALL 
788,COMMUNITY
789,CONFETTI CONSTELLATIONS 
790,COUTURE - NOTTINGH
791,CROWN SURVEILLANCE 
792,CURTINS CONSULTING ENGINEERS 
793,DJANOGLY NORTHGATE ACADEMY
794,DJANOGLY STRELLEY ACADEMY
795,DOVECOTE PRIMARY SCHOOL
796,EAST MIDLAND DIAMOND DRILLING
797,EAST MIDLANDS HOSPITALITY T/A STAGE HOTEL
798,ECONOMIST SUBSCRIPTION
799,EDALE RISE PRIMARY & NURSERY SCHOOL
800,EDNA G OLDS ACADEMY
801,EE & T-MOBILE
802,ELITE BLINDS
803,ENVIROENERGY 
804,ENVIRONMENTAL CONSULTANCY  T/A RPS GROUP 
805,EON UK 
806,ESPO
807,EXTRACARE CHARITABLE TRUST
808,FIRBECK ACADEMY
809,FOREST FIELDS PRIMARY & NURSERY SCHOOL
810,FOSTER CARE ASSOCIATES 
811,FUTURE DEVELOPMENTS (MAN) 
812,G4S CASH SOLUTIONS (UK) 
813,GLAPTON ACADEMY
814,GLENBROOK PRIMARY SCHOOL
815,GMBATU
816,GREATER NOTTM LIFT PROJECT COMPANY (NO1) 
817,GREY MATTER 
818,GRT NOTTM LIFT PROJECT COMPANY (NO2) 
819,HALLIWELL HOMES 
820,HALLS LOCKSMITHS 
821,HALX NOTTS MILTON
822,HEATPRO HIRE 
823,HIGHBANK PRIMARY SCHOOL
824,HOGARTH ACADEMY
825,HOPE FOSTERING SERVICES
826,IBIS NOTTINGHAM
827,ITUNES.COM/BILL
828,J P LENNARD 
829,JD SPORTS INTERNET
830,JOHN A STEPHENS
831,JUBILEE L E.A.D. ACADEMY
832,K J PATTERSON BUILDERS
833,LOCAL WORLD 
834,LONDON ADVICE SERVICES ALLIANCE
835,LONGDALE SVS STN
836,M J GIDDINGS FARM PROD
837,MARK HARROD 
838,MARSHALLS OF SUTTON ON TRENT 
839,MARY HARE GRAMMAR SCHOOL
840,MASTERNAUT UK 
841,MATRIX SCM 
842,MELLERS PRIMARY & NURSERY SCHOOL
843,MIDLAND LOW PRICE BEDS
844,MILFORD PRIMARY SCHOOL N C C
845,NAT TRUST RESTAURA
846,NCC INTERNET
847,NO1 HIGH PAVEMENT CHAMBERS
848,NORBAIN WINNERSH (SOUTH)
849,NORTHGATE INFORMATION SOLUTIONS 
850,NORTHGATE PUBLIC SERVICES (UK) 
851,NOTEMACHINE
852,NOTTINGHAM CITY CO
853,NOTTINGHAM COMMUNITY HOUSING ASSOCIATION
854,NOTTINGHAMSHIRE COUNTY COUNCIL
855,NOTTINGHAMSHIRE DEAF SOCIETY
856,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST
857,NOTTS-FIRE.GOV.UK
858,OLD BASFORD ACADEMY
859,OPUS ENERGY 
860,PATOSS 
861,PATRA INC ACDA
862,PAYATRADER.COM
863,PAYPAL  EQUATION
864,PHARMA HEALTH SOLUTIONS  T/A QUEENS PHARMACY CENTRE
865,POST OFFICE COUNTER
866,POSTOFFICE SELFSERVICE
867,PREMIER APARTMENTS NOT
868,R O ELECTRICAL 
869,RALAWISE 
870,REDACTED PERSONAL DATA
871,ROSSLYN PARK PRIMARY ACADEMY
872,ROYAL BK OF SCOTLAND
873,RUSHCLIFFE DEVELOPMENTS 
874,RUSHCLIFFE FENCING 
875,SAINSBURYS (2277)
876,SAINSBURYS LOC 4296
877,SEVERN TRENT WATER 
878,SILVERDALE TOURS (NOTTINGHAM) 
879,SKEGNESS
880,SKILLS MOTOR COACHES 
881,SNAPEWOOD COMMUNITY ASSOC
882,SOUTHERN ELECTRIC
883,ST AUGUSTINES CATHOLIC ACADEMY
884,ST JOHNS CATHOLIC SCHOOL FOR THE DEAF
885,ST PATRICKS CATHOLIC PRIMARY & NURSERY ACADEMY
886,STANDARD LIFE INVESTMENT MMF
887,STEVE CLIFFORD PLUMBING 
888,STUNCROFT 
889,T GRANT & SON
890,TESCO PFS 4136
891,TESCO STORES (5378)
892,TESCO STORES 3297
893,TESCO STORES 5957
894,TOTAL INTEGRATED SOLUTIONS 
895,TRAINLINE
896,"UNION OF CONSTRUCTION, ALLIED TRADES & TECHNICIANS"
897,UNISON
898,WALKER CATERING SU
899,WARREN PRIMARY ACADEMY
900,WELBECK PRIMARY SCHOOL
901,WHITEGATE PRIMARY AND NURSERY SCHOOL
902,WHITEMOOR ACADEMY
903,WILLIAM BOOTH PRIMARY
904,WINDMILL L E A D ACADEMY
905,WOMENS AID INTEGRATED SERVICES
906,WP-REALVNC 
907,WWW.JUSTICE.GOV.UK
908,WWW.PAYPHS.COM
909,WWW.POSTURITE.CO.UK
910,ZUMBA FITNESS
911,A & S FABRICATIONS (NOTTM) 
912,A1 MINI MIX CONCRETE 
913,ADKINS BAKERY 
914,ALLEN VENDING SERVICES 
915,"AMAZON SVCS EUROPE,SAR"
